ticker,fiscal_year,period_end,period_type,revenue,cost_of_sales,gross_profit,operating_profit,net_profit,interest_expense,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,receivables,operating_cash_flow,capex,return_on_equity,return_on_assets,gross_margin,operating_margin,net_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,asset_turnover,inventory_turnover,days_sales_outstanding,free_cash_flow,interest_coverage_ratio,working_capital,sector_gics,company_name,filing_id,calc_ROE,calc_ROA,calc_gross_margin,calc_operating_margin,calc_net_margin,calc_current_ratio,calc_quick_ratio,calc_debt_to_equity,calc_debt_to_assets,calc_asset_turnover,calc_working_capital,period_label,revenue_millions,roe_pct,company_type,data_quality_score,is_annual,is_latest,roa_pct,gross_margin_pct,operating_margin_pct,net_margin_pct,debt_to_equity_pct,debt_to_assets_pct,net_profit_millions,total_assets_millions,total_equity_millions,period_date,year_quarter,fiscal_quarter,profit_status,liquidity_status,leverage_status,roe_status,has_cogs,has_operating_profit,has_cash_flow,ticker_name,roe_decimal,roa_decimal,gross_margin_decimal,operating_margin_decimal,net_margin_decimal,size_category,profitability_score,capex_adjusted,sector_derived,gross_profit_calc,total_liabilities_calc,free_cash_flow_calc,working_capital_calc,net_margin_calc,gross_margin_calc,roe_calc,original_unit,was_normalized,normalization_multiplier
4191.0,2021.0,6/30/2021,Quarterly,45377767.0,34891793.0,10485974.0,2750518.0,1910072.0,564431.0,342615913.0,235726822.0,106889091.0,180685105.0,95786034.0,114027770.0,36569167.0,,483557.0,0.008102905,0.005574966,0.231081754,0.06061378,0.042092684,1.88634081,0.695898266,0.453444755,0.311979353,0.132445007,0.305993821,294.1472628,,4.873081032,84899071.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2021,0.8%,0.6%,23.1%,6.1%,4.2%,1.9,0.7,45.3%,0.31,0.13,84899071.0,Q2021,45.4,0.8%,Industrial,93,False,False,0.6,23.1,6.1,4.2,45.3,31.2,1.9,342.6,235.7,6/30/2021,2021-Q3,Q3,Profit,Strong,Low,Weak,True,True,False,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0081,0.0056,0.2311,0.0606,0.0421,Small Cap,0.0,483557.0,Other,10485974.0,106889091.0,,84899071.0,4.2%,23.1%,0.8%,SAR,False,1
4191.0,2021.0,12/31/2021,Annual,208784880.0,71087977.0,19370984.0,8906684.0,7199302.0,488931.0,322941441.0,237628601.0,85312840.0,161842539.0,72796196.0,89467335.0,42828731.0,27579273.0,2437800.0,0.030296446,0.022292902,0.09277963,0.042659622,0.034481913,2.223227969,0.994216841,0.359017558,0.264174334,0.646510028,0.794569068,74.87365376,25141473.0,18.21664816,89046343.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2021,3.0%,2.2%,9.3%,4.3%,3.4%,2.2,1.0,35.9%,0.26,0.65,89046343.0,FY2021,208.8,3.0%,Industrial,100,True,False,2.2,9.3,4.3,3.4,35.9,26.4,7.2,322.9,237.6,12/31/2021,2021-FY,FY,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0303,0.0223,0.0928,0.0427,0.0345,Small Cap,11.0,2437800.0,Other,19370984.0,85312840.0,25141473.0,89046343.0,3.4%,9.3%,3.0%,SAR,False,1
4191.0,2022.0,3/31/2022,Quarterly,282295052.0,217435073.0,64859979.0,25485301.0,15102972.0,1951359.0,310388809.0,237700415.0,72688394.0,157036959.0,60503255.0,89115646.0,33221552.0,43298335.0,3660418.0,0.063537844,0.048658236,0.229759532,0.09027895,0.053500661,2.595512572,1.122605933,0.305798347,0.23418497,0.909488499,2.439920292,42.95458384,39637917.0,13.06028312,96533704.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,6.4%,4.9%,23.0%,9.0%,5.4%,2.6,1.1,30.6%,0.23,0.91,96533704.0,Q2022,282.3,6.4%,Industrial,100,False,False,4.9,23.0,9.0,5.4,30.6,23.4,15.1,310.4,237.7,3/31/2022,2022-Q2,Q2,Profit,Strong,Low,Average,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0635,0.0487,0.2298,0.0903,0.0535,Small Cap,33.0,3660418.0,Other,64859979.0,72688394.0,39637917.0,96533704.0,5.4%,23.0%,6.4%,SAR,False,1
4191.0,2022.0,6/30/2022,Quarterly,62942996.0,46513478.0,16429518.0,5377201.0,4314570.0,401471.0,330986000.0,240559177.0,90426823.0,181299508.0,79344781.0,116298413.0,28477950.0,,594703.0,0.017935587,0.013035506,0.261022179,0.085429696,0.068547261,2.2849582,0.819223321,0.375902612,0.273204374,0.190168152,0.399949379,165.1407211,,13.393747,101954727.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,1.8%,1.3%,26.1%,8.5%,6.9%,2.3,0.8,37.6%,0.27,0.19,101954727.0,Q2022,62.9,1.8%,Industrial,93,False,False,1.3,26.1,8.5,6.9,37.6,27.3,4.3,331.0,240.6,6/30/2022,2022-Q3,Q3,Profit,Strong,Low,Weak,True,True,False,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0179,0.013,0.261,0.0854,0.0685,Small Cap,11.0,594703.0,Other,16429518.0,90426823.0,,101954727.0,6.9%,26.1%,1.8%,SAR,False,1
4191.0,2022.0,9/30/2022,Quarterly,164719610.0,74694626.0,27081991.0,14725432.0,12810104.0,652089.0,336025079.0,243555488.0,92469591.0,183129346.0,78516219.0,113859553.0,29356288.0,15483354.0,1310095.0,0.052596245,0.038122464,0.164412671,0.089396958,0.07776915,2.332376015,0.882235465,0.379665397,0.275186576,0.490200346,0.656024234,65.05020938,14173259.0,22.5819359,104613127.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,5.3%,3.8%,16.4%,8.9%,7.8%,2.3,0.9,38.0%,0.28,0.49,104613127.0,Q2022,164.7,5.3%,Industrial,100,False,False,3.8,16.4,8.9,7.8,38.0,27.5,12.8,336.0,243.6,9/30/2022,2022-Q4,Q4,Profit,Strong,Low,Average,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0526,0.0381,0.1644,0.0894,0.0778,Small Cap,33.0,1310095.0,Other,27081991.0,92469591.0,14173259.0,104613127.0,7.8%,16.4%,5.3%,SAR,False,1
4191.0,2022.0,12/31/2022,Annual,251006284.0,66198559.0,20088115.0,9134422.0,8015249.0,189256.0,299705236.0,250851297.0,48853939.0,144194469.0,31919191.0,89869791.0,24402668.0,48918418.0,2964358.0,0.031952193,0.026743774,0.080030327,0.036391208,0.031932463,4.517485077,1.701944075,0.194752587,0.163006625,0.837510506,0.73660524,35.48506308,45954060.0,48.26490045,112275278.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,3.2%,2.7%,8.0%,3.6%,3.2%,4.5,1.7,19.5%,0.16,0.84,112275278.0,FY2022,251.0,3.2%,Industrial,100,True,False,2.7,8.0,3.6,3.2,19.5,16.3,8.0,299.7,250.9,12/31/2022,2022-FY,FY,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.032,0.0267,0.08,0.0364,0.0319,Small Cap,11.0,2964358.0,Other,20088115.0,48853939.0,45954060.0,112275278.0,3.2%,8.0%,3.2%,SAR,False,1
4191.0,2023.0,3/31/2023,Quarterly,314377131.0,233972566.0,80404565.0,33770864.0,16916216.0,1490234.0,288600994.0,242819998.0,45780996.0,143035055.0,27976392.0,86038674.0,18545046.0,66089056.0,3767802.0,0.069665662,0.058614545,0.255758314,0.107421503,0.053808672,5.112705563,2.037302773,0.18853882,0.158630763,1.089314096,2.71938833,21.53127923,62321254.0,22.66145048,115058663.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,7.0%,5.9%,25.6%,10.7%,5.4%,5.1,2.0,18.9%,0.16,1.09,115058663.0,Q2023,314.4,7.0%,Industrial,100,False,False,5.9,25.6,10.7,5.4,18.9,15.9,16.9,288.6,242.8,3/31/2023,2023-Q2,Q2,Profit,Strong,Low,Average,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0697,0.0586,0.2558,0.1074,0.0538,Small Cap,44.0,3767802.0,Other,80404565.0,45780996.0,62321254.0,115058663.0,5.4%,25.6%,7.0%,SAR,False,1
4191.0,2023.0,6/30/2023,Quarterly,49888615.0,36179224.0,13709391.0,3376048.0,2689864.0,240966.0,286219304.0,245611430.0,40607874.0,142708369.0,25082097.0,89291086.0,20572500.0,-9041441.0,769772.0,0.010951705,0.009397913,0.274799992,0.067671712,0.053917392,5.68965063,2.129697648,0.165333812,0.141876783,0.174302062,0.405182932,150.5145513,-9811213.0,14.01047451,117626272.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,1.1%,0.9%,27.5%,6.8%,5.4%,5.7,2.1,16.5%,0.14,0.17,117626272.0,Q2023,49.9,1.1%,Industrial,100,False,False,0.9,27.5,6.8,5.4,16.5,14.2,2.7,286.2,245.6,6/30/2023,2023-Q3,Q3,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.011,0.0094,0.2748,0.0677,0.0539,Small Cap,11.0,769772.0,Other,13709391.0,40607874.0,-9811213.0,117626272.0,5.4%,27.5%,1.1%,SAR,False,1
4191.0,2023.0,9/30/2023,Quarterly,138943785.0,62797214.0,26257956.0,14091481.0,13049439.0,254095.0,318856880.0,237797541.0,81059339.0,163872795.0,66529120.0,82718129.0,32038627.0,19186088.0,12230565.0,0.054876257,0.040925694,0.188982587,0.101418577,0.093918839,2.463173945,1.219836757,0.34087543,0.254218567,0.435755957,0.759171112,84.16424567,6955523.0,55.45752966,97343675.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,5.5%,4.1%,18.9%,10.1%,9.4%,2.5,1.2,34.1%,0.25,0.44,97343675.0,Q2023,138.9,5.5%,Industrial,100,False,False,4.1,18.9,10.1,9.4,34.1,25.4,13.0,318.9,237.8,9/30/2023,2023-Q4,Q4,Profit,Strong,Low,Average,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0549,0.0409,0.189,0.1014,0.0939,Small Cap,33.0,12230565.0,Other,26257956.0,81059339.0,6955523.0,97343675.0,9.4%,18.9%,5.5%,SAR,False,1
4191.0,2023.0,12/31/2023,Annual,214000851.0,52837669.0,22219397.0,10215860.0,8546889.0,668319.0,315545858.0,236801486.0,78744372.0,130161421.0,65140266.0,77445777.0,24054854.0,41075485.0,43814181.0,0.036093055,0.027086044,0.103828545,0.047737474,0.039938575,1.998171469,0.809263567,0.332533268,0.249549693,0.678192553,0.682253714,41.02797568,-2738696.0,15.28590389,65021155.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,3.6%,2.7%,10.4%,4.8%,4.0%,2.0,0.8,33.3%,0.25,0.68,65021155.0,FY2023,214.0,3.6%,Industrial,100,True,False,2.7,10.4,4.8,4.0,33.3,25.0,8.5,315.5,236.8,12/31/2023,2023-FY,FY,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0361,0.0271,0.1038,0.0477,0.0399,Small Cap,11.0,43814181.0,Other,22219397.0,78744372.0,-2738696.0,65021155.0,4.0%,10.4%,3.6%,SAR,False,1
4191.0,2024.0,3/31/2024,Quarterly,270489551.0,194077919.0,76411632.0,29005980.0,26936557.0,2270794.0,319052074.0,239027609.0,80024465.0,136258367.0,67106312.0,83116819.0,31465757.0,42024945.0,43598010.0,0.112692241,0.084426836,0.28249384,0.107235122,0.099584464,2.030485105,0.791900887,0.334791723,0.250819448,0.847791232,2.335001764,42.46005534,-1573065.0,12.77349685,69152055.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2024,11.3%,8.4%,28.2%,10.7%,10.0%,2.0,0.8,33.5%,0.25,0.85,69152055.0,Q2024,270.5,11.3%,Industrial,100,False,False,8.4,28.2,10.7,10.0,33.5,25.1,26.9,319.1,239.0,3/31/2024,2024-Q2,Q2,Profit,Strong,Low,Good,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.1127,0.0844,0.2825,0.1072,0.0996,Small Cap,56.0,43598010.0,Other,76411632.0,80024465.0,-1573065.0,69152055.0,10.0%,28.2%,11.3%,SAR,False,1
4191.0,2024.0,6/30/2024,Quarterly,49757553.0,34201271.0,15556282.0,2758768.0,1958628.0,947212.0,329996193.0,240190621.0,89805572.0,149329772.0,78595780.0,88501238.0,32404443.0,-12663996.0,1180391.0,0.008154473,0.005935305,0.31264162,0.055444206,0.039363431,1.899971881,0.773941476,0.373892917,0.272141236,0.150782203,0.386449634,237.7050514,-13844387.0,2.912513777,70733992.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2024,0.8%,0.6%,31.3%,5.5%,3.9%,1.9,0.8,37.4%,0.27,0.15,70733992.0,Q2024,49.8,0.8%,Industrial,100,False,False,0.6,31.3,5.5,3.9,37.4,27.2,2.0,330.0,240.2,6/30/2024,2024-Q3,Q3,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0082,0.0059,0.3126,0.0554,0.0394,Small Cap,0.0,1180391.0,Other,15556282.0,89805572.0,-13844387.0,70733992.0,3.9%,31.3%,0.8%,SAR,False,1
4191.0,2024.0,9/30/2024,Quarterly,138641364.0,61704018.0,27179793.0,13063829.0,10648773.0,1274666.0,349441492.0,241059458.0,108382034.0,165233754.0,94191226.0,96353637.0,44755196.0,-3828546.0,2383631.0,0.044174882,0.030473694,0.196043895,0.094227499,0.076808051,1.754237215,0.731279546,0.449607059,0.310157885,0.396751294,0.640391167,117.8266433,-6212177.0,10.24882518,71042528.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2024,4.4%,3.0%,19.6%,9.4%,7.7%,1.8,0.7,45.0%,0.31,0.4,71042528.0,Q2024,138.6,4.4%,Industrial,100,False,False,3.0,19.6,9.4,7.7,45.0,31.0,10.6,349.4,241.1,9/30/2024,2024-Q4,Q4,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0442,0.0305,0.196,0.0942,0.0768,Small Cap,22.0,2383631.0,Other,27179793.0,108382034.0,-6212177.0,71042528.0,7.7%,19.6%,4.4%,SAR,False,1
4191.0,2025.0,3/31/2025,Quarterly,264818853.0,185480534.0,79338319.0,27927746.0,22129415.0,5232646.0,336669083.0,240369876.0,96299207.0,155620304.0,82005021.0,100213604.0,38731609.0,18516471.0,3173115.0,0.092064011,0.065730464,0.299594678,0.10545981,0.083564349,1.897692386,0.675650092,0.400629266,0.286035196,0.786585007,1.850851846,53.38380227,15343356.0,5.337212951,73615283.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2025,9.2%,6.6%,30.0%,10.5%,8.4%,1.9,0.7,40.1%,0.29,0.79,73615283.0,Q2025,264.8,9.2%,Industrial,100,False,False,6.6,30.0,10.5,8.4,40.1,28.6,22.1,336.7,240.4,3/31/2025,2025-Q2,Q2,Profit,Strong,Low,Average,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0921,0.0657,0.2996,0.1055,0.0836,Small Cap,44.0,3173115.0,Other,79338319.0,96299207.0,15343356.0,73615283.0,8.4%,30.0%,9.2%,SAR,False,1
4191.0,2025.0,6/30/2025,Quarterly,58573234.0,39462637.0,19110597.0,6962999.0,5467209.0,1111901.0,351497912.0,245650877.0,105847035.0,170511276.0,90654159.0,98634348.0,52141346.0,-14494747.0,140019.0,0.022256013,0.01555403,0.326268428,0.118876806,0.093339716,1.880898548,0.792869613,0.43088401,0.301131334,0.166638924,0.40009021,324.9195919,-14634766.0,6.262247268,79857117.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2025,2.2%,1.6%,32.6%,11.9%,9.3%,1.9,0.8,43.1%,0.3,0.17,79857117.0,Q2025,58.6,2.2%,Industrial,100,False,False,1.6,32.6,11.9,9.3,43.1,30.1,5.5,351.5,245.7,6/30/2025,2025-Q3,Q3,Profit,Strong,Low,Weak,True,True,True,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0223,0.0156,0.3263,0.1189,0.0933,Small Cap,11.0,140019.0,Other,19110597.0,105847035.0,-14634766.0,79857117.0,9.3%,32.6%,2.2%,SAR,False,1
