ticker,fiscal_year,period_end,period_type,revenue,cost_of_sales,gross_profit,operating_profit,net_profit,interest_expense,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,receivables,operating_cash_flow,capex,return_on_equity,return_on_assets,gross_margin,operating_margin,net_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,asset_turnover,inventory_turnover,days_sales_outstanding,free_cash_flow,interest_coverage_ratio,working_capital,sector_gics,company_name,filing_id,calc_ROE,calc_ROA,calc_gross_margin,calc_operating_margin,calc_net_margin,calc_current_ratio,calc_quick_ratio,calc_debt_to_equity,calc_debt_to_assets,calc_asset_turnover,calc_working_capital,period_label,revenue_millions,roe_pct,company_type,data_quality_score,is_annual,is_latest,roa_pct,gross_margin_pct,operating_margin_pct,net_margin_pct,debt_to_equity_pct,debt_to_assets_pct,net_profit_millions,total_assets_millions,total_equity_millions,period_date,year_quarter,fiscal_quarter,profit_status,liquidity_status,leverage_status,roe_status,has_cogs,has_operating_profit,has_cash_flow,ticker_name,roe_decimal,roa_decimal,gross_margin_decimal,operating_margin_decimal,net_margin_decimal,size_category,profitability_score,capex_adjusted,sector_derived,gross_profit_calc,total_liabilities_calc,free_cash_flow_calc,working_capital_calc,net_margin_calc,gross_margin_calc,roe_calc
4191,2021,6/30/2021,Quarterly,45377767,34891793,10485974,2750518,1910072,564431,342615913,235726822,106889091,180685105,95786034,114027770,36569167,,483557,0.008102905,0.005574966,0.231081754,0.06061378,0.042092684,1.88634081,0.695898266,0.453444755,0.311979353,0.132445007,0.305993821,294.1472628,,4.873081032,84899071,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2021,0.8%,0.6%,23.1%,6.1%,4.2%,1.9,0.7,45.3%,0.31,0.13,84899071,Q2021,45.4,0.8%,Industrial,93,FALSE,FALSE,0.6,23.1,6.1,4.2,45.3,31.2,1.9,342.6,235.7,6/30/2021,2021-Q3,Q3,Profit,Strong,Low,Weak,TRUE,TRUE,FALSE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0081,0.0056,0.2311,0.0606,0.0421,Small Cap,0,483557,Other,10485974,106889091,,84899071,4.2%,23.1%,0.8%
4191,2021,12/31/2021,Annual,208784880,71087977,19370984,8906684,7199302,488931,322941441,237628601,85312840,161842539,72796196,89467335,42828731,27579273,2437800,0.030296446,0.022292902,0.09277963,0.042659622,0.034481913,2.223227969,0.994216841,0.359017558,0.264174334,0.646510028,0.794569068,74.87365376,25141473,18.21664816,89046343,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2021,3.0%,2.2%,9.3%,4.3%,3.4%,2.2,1.0,35.9%,0.26,0.65,89046343,FY2021,208.8,3.0%,Industrial,100,TRUE,FALSE,2.2,9.3,4.3,3.4,35.9,26.4,7.2,322.9,237.6,12/31/2021,2021-FY,FY,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0303,0.0223,0.0928,0.0427,0.0345,Small Cap,11,2437800,Other,19370984,85312840,25141473,89046343,3.4%,9.3%,3.0%
4191,2022,3/31/2022,Quarterly,282295052,217435073,64859979,25485301,15102972,1951359,310388809,237700415,72688394,157036959,60503255,89115646,33221552,43298335,3660418,0.063537844,0.048658236,0.229759532,0.09027895,0.053500661,2.595512572,1.122605933,0.305798347,0.23418497,0.909488499,2.439920292,42.95458384,39637917,13.06028312,96533704,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,6.4%,4.9%,23.0%,9.0%,5.4%,2.6,1.1,30.6%,0.23,0.91,96533704,Q2022,282.3,6.4%,Industrial,100,FALSE,FALSE,4.9,23,9,5.4,30.6,23.4,15.1,310.4,237.7,3/31/2022,2022-Q2,Q2,Profit,Strong,Low,Average,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0635,0.0487,0.2298,0.0903,0.0535,Small Cap,33,3660418,Other,64859979,72688394,39637917,96533704,5.4%,23.0%,6.4%
4191,2022,6/30/2022,Quarterly,62942996,46513478,16429518,5377201,4314570,401471,330986000,240559177,90426823,181299508,79344781,116298413,28477950,,594703,0.017935587,0.013035506,0.261022179,0.085429696,0.068547261,2.2849582,0.819223321,0.375902612,0.273204374,0.190168152,0.399949379,165.1407211,,13.393747,101954727,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,1.8%,1.3%,26.1%,8.5%,6.9%,2.3,0.8,37.6%,0.27,0.19,101954727,Q2022,62.9,1.8%,Industrial,93,FALSE,FALSE,1.3,26.1,8.5,6.9,37.6,27.3,4.3,331,240.6,6/30/2022,2022-Q3,Q3,Profit,Strong,Low,Weak,TRUE,TRUE,FALSE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0179,0.013,0.261,0.0854,0.0685,Small Cap,11,594703,Other,16429518,90426823,,101954727,6.9%,26.1%,1.8%
4191,2022,9/30/2022,Quarterly,164719610,74694626,27081991,14725432,12810104,652089,336025079,243555488,92469591,183129346,78516219,113859553,29356288,15483354,1310095,0.052596245,0.038122464,0.164412671,0.089396958,0.07776915,2.332376015,0.882235465,0.379665397,0.275186576,0.490200346,0.656024234,65.05020938,14173259,22.5819359,104613127,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,5.3%,3.8%,16.4%,8.9%,7.8%,2.3,0.9,38.0%,0.28,0.49,104613127,Q2022,164.7,5.3%,Industrial,100,FALSE,FALSE,3.8,16.4,8.9,7.8,38,27.5,12.8,336,243.6,9/30/2022,2022-Q4,Q4,Profit,Strong,Low,Average,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0526,0.0381,0.1644,0.0894,0.0778,Small Cap,33,1310095,Other,27081991,92469591,14173259,104613127,7.8%,16.4%,5.3%
4191,2022,12/31/2022,Annual,251006284,66198559,20088115,9134422,8015249,189256,299705236,250851297,48853939,144194469,31919191,89869791,24402668,48918418,2964358,0.031952193,0.026743774,0.080030327,0.036391208,0.031932463,4.517485077,1.701944075,0.194752587,0.163006625,0.837510506,0.73660524,35.48506308,45954060,48.26490045,112275278,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2022,3.2%,2.7%,8.0%,3.6%,3.2%,4.5,1.7,19.5%,0.16,0.84,112275278,FY2022,251,3.2%,Industrial,100,TRUE,FALSE,2.7,8,3.6,3.2,19.5,16.3,8,299.7,250.9,12/31/2022,2022-FY,FY,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.032,0.0267,0.08,0.0364,0.0319,Small Cap,11,2964358,Other,20088115,48853939,45954060,112275278,3.2%,8.0%,3.2%
4191,2023,3/31/2023,Quarterly,314377131,233972566,80404565,33770864,16916216,1490234,288600994,242819998,45780996,143035055,27976392,86038674,18545046,66089056,3767802,0.069665662,0.058614545,0.255758314,0.107421503,0.053808672,5.112705563,2.037302773,0.18853882,0.158630763,1.089314096,2.71938833,21.53127923,62321254,22.66145048,115058663,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,7.0%,5.9%,25.6%,10.7%,5.4%,5.1,2.0,18.9%,0.16,1.09,115058663,Q2023,314.4,7.0%,Industrial,100,FALSE,FALSE,5.9,25.6,10.7,5.4,18.9,15.9,16.9,288.6,242.8,3/31/2023,2023-Q2,Q2,Profit,Strong,Low,Average,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0697,0.0586,0.2558,0.1074,0.0538,Small Cap,44,3767802,Other,80404565,45780996,62321254,115058663,5.4%,25.6%,7.0%
4191,2023,6/30/2023,Quarterly,49888615,36179224,13709391,3376048,2689864,240966,286219304,245611430,40607874,142708369,25082097,89291086,20572500,-9041441,769772,0.010951705,0.009397913,0.274799992,0.067671712,0.053917392,5.68965063,2.129697648,0.165333812,0.141876783,0.174302062,0.405182932,150.5145513,-9811213,14.01047451,117626272,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,1.1%,0.9%,27.5%,6.8%,5.4%,5.7,2.1,16.5%,0.14,0.17,117626272,Q2023,49.9,1.1%,Industrial,100,FALSE,FALSE,0.9,27.5,6.8,5.4,16.5,14.2,2.7,286.2,245.6,6/30/2023,2023-Q3,Q3,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.011,0.0094,0.2748,0.0677,0.0539,Small Cap,11,769772,Other,13709391,40607874,-9811213,117626272,5.4%,27.5%,1.1%
4191,2023,9/30/2023,Quarterly,138943785,62797214,26257956,14091481,13049439,254095,318856880,237797541,81059339,163872795,66529120,82718129,32038627,19186088,12230565,0.054876257,0.040925694,0.188982587,0.101418577,0.093918839,2.463173945,1.219836757,0.34087543,0.254218567,0.435755957,0.759171112,84.16424567,6955523,55.45752966,97343675,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,5.5%,4.1%,18.9%,10.1%,9.4%,2.5,1.2,34.1%,0.25,0.44,97343675,Q2023,138.9,5.5%,Industrial,100,FALSE,FALSE,4.1,18.9,10.1,9.4,34.1,25.4,13,318.9,237.8,9/30/2023,2023-Q4,Q4,Profit,Strong,Low,Average,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0549,0.0409,0.189,0.1014,0.0939,Small Cap,33,12230565,Other,26257956,81059339,6955523,97343675,9.4%,18.9%,5.5%
4191,2023,12/31/2023,Annual,214000851,52837669,22219397,10215860,8546889,668319,315545858,236801486,78744372,130161421,65140266,77445777,24054854,41075485,43814181,0.036093055,0.027086044,0.103828545,0.047737474,0.039938575,1.998171469,0.809263567,0.332533268,0.249549693,0.678192553,0.682253714,41.02797568,-2738696,15.28590389,65021155,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2023,3.6%,2.7%,10.4%,4.8%,4.0%,2.0,0.8,33.3%,0.25,0.68,65021155,FY2023,214,3.6%,Industrial,100,TRUE,FALSE,2.7,10.4,4.8,4,33.3,25,8.5,315.5,236.8,12/31/2023,2023-FY,FY,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0361,0.0271,0.1038,0.0477,0.0399,Small Cap,11,43814181,Other,22219397,78744372,-2738696,65021155,4.0%,10.4%,3.6%
4191,2024,3/31/2024,Quarterly,270489551,194077919,76411632,29005980,26936557,2270794,319052074,239027609,80024465,136258367,67106312,83116819,31465757,42024945,43598010,0.112692241,0.084426836,0.28249384,0.107235122,0.099584464,2.030485105,0.791900887,0.334791723,0.250819448,0.847791232,2.335001764,42.46005534,-1573065,12.77349685,69152055,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2024,11.3%,8.4%,28.2%,10.7%,10.0%,2.0,0.8,33.5%,0.25,0.85,69152055,Q2024,270.5,11.3%,Industrial,100,FALSE,FALSE,8.4,28.2,10.7,10,33.5,25.1,26.9,319.1,239,3/31/2024,2024-Q2,Q2,Profit,Strong,Low,Good,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.1127,0.0844,0.2825,0.1072,0.0996,Small Cap,56,43598010,Other,76411632,80024465,-1573065,69152055,10.0%,28.2%,11.3%
4191,2024,6/30/2024,Quarterly,49757553,34201271,15556282,2758768,1958628,947212,329996193,240190621,89805572,149329772,78595780,88501238,32404443,-12663996,1180391,0.008154473,0.005935305,0.31264162,0.055444206,0.039363431,1.899971881,0.773941476,0.373892917,0.272141236,0.150782203,0.386449634,237.7050514,-13844387,2.912513777,70733992,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2024,0.8%,0.6%,31.3%,5.5%,3.9%,1.9,0.8,37.4%,0.27,0.15,70733992,Q2024,49.8,0.8%,Industrial,100,FALSE,FALSE,0.6,31.3,5.5,3.9,37.4,27.2,2,330,240.2,6/30/2024,2024-Q3,Q3,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0082,0.0059,0.3126,0.0554,0.0394,Small Cap,0,1180391,Other,15556282,89805572,-13844387,70733992,3.9%,31.3%,0.8%
4191,2024,9/30/2024,Quarterly,138641364,61704018,27179793,13063829,10648773,1274666,349441492,241059458,108382034,165233754,94191226,96353637,44755196,-3828546,2383631,0.044174882,0.030473694,0.196043895,0.094227499,0.076808051,1.754237215,0.731279546,0.449607059,0.310157885,0.396751294,0.640391167,117.8266433,-6212177,10.24882518,71042528,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2024,4.4%,3.0%,19.6%,9.4%,7.7%,1.8,0.7,45.0%,0.31,0.40,71042528,Q2024,138.6,4.4%,Industrial,100,FALSE,FALSE,3,19.6,9.4,7.7,45,31,10.6,349.4,241.1,9/30/2024,2024-Q4,Q4,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0442,0.0305,0.196,0.0942,0.0768,Small Cap,22,2383631,Other,27179793,108382034,-6212177,71042528,7.7%,19.6%,4.4%
4191,2025,3/31/2025,Quarterly,264818853,185480534,79338319,27927746,22129415,5232646,336669083,240369876,96299207,155620304,82005021,100213604,38731609,18516471,3173115,0.092064011,0.065730464,0.299594678,0.10545981,0.083564349,1.897692386,0.675650092,0.400629266,0.286035196,0.786585007,1.850851846,53.38380227,15343356,5.337212951,73615283,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2025,9.2%,6.6%,30.0%,10.5%,8.4%,1.9,0.7,40.1%,0.29,0.79,73615283,Q2025,264.8,9.2%,Industrial,100,FALSE,FALSE,6.6,30,10.5,8.4,40.1,28.6,22.1,336.7,240.4,3/31/2025,2025-Q2,Q2,Profit,Strong,Low,Average,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0921,0.0657,0.2996,0.1055,0.0836,Small Cap,44,3173115,Other,79338319,96299207,15343356,73615283,8.4%,30.0%,9.2%
4191,2025,6/30/2025,Quarterly,58573234,39462637,19110597,6962999,5467209,1111901,351497912,245650877,105847035,170511276,90654159,98634348,52141346,-14494747,140019,0.022256013,0.01555403,0.326268428,0.118876806,0.093339716,1.880898548,0.792869613,0.43088401,0.301131334,0.166638924,0.40009021,324.9195919,-14634766,6.262247268,79857117,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2025,2.2%,1.6%,32.6%,11.9%,9.3%,1.9,0.8,43.1%,0.30,0.17,79857117,Q2025,58.6,2.2%,Industrial,100,FALSE,FALSE,1.6,32.6,11.9,9.3,43.1,30.1,5.5,351.5,245.7,6/30/2025,2025-Q3,Q3,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0223,0.0156,0.3263,0.1189,0.0933,Small Cap,11,140019,Other,19110597,105847035,-14634766,79857117,9.3%,32.6%,2.2%
4191,2025,9/30/2025,Quarterly,139260286,53858428,26828624,13097682,11133207,1273015,345466488,247380791,98085697,160715842,81918087,87415585,52115996,16006669,549506,0.045004331,0.03222659,0.192650933,0.09405181,0.079945312,1.96190912,0.894799423,0.39649682,0.283922465,0.403107945,0.616119288,136.5955728,15457163,10.28870987,78797755,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2025,4.5%,3.2%,19.3%,9.4%,8.0%,2.0,0.9,39.6%,0.28,0.40,78797755,Q2025,139.3,4.5%,Industrial,100,FALSE,TRUE,3.2,19.3,9.4,8,39.6,28.4,11.1,345.5,247.4,9/30/2025,2025-Q4,Q4,Profit,Strong,Low,Weak,TRUE,TRUE,TRUE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.045,0.0322,0.1927,0.0941,0.0799,Small Cap,22,549506,Other,26828624,98085697,15457163,78797755,8.0%,19.3%,4.5%
9634,2023,12/31/2023,Annual,108360737,41919137,66441600,51068735,50321716,14664,96999985,81629663,15370322,32076418,9480629,,1601896,57401259,91615,0.616463601,0.518780658,0.613151976,0.471284493,0.464390677,3.38336391,3.38336391,0.188293341,0.158456952,1.117121173,,5.395792389,57309644,3482.592403,22595789,,Adeer Real Estate Co.,9634_2023,61.6%,51.9%,61.3%,47.1%,46.4%,3.4,,18.8%,0.16,1.12,22595789,FY2023,108.4,61.6%,Industrial,93,TRUE,FALSE,51.9,61.3,47.1,46.4,18.8,15.8,50.3,97,81.6,12/31/2023,2023-FY,FY,Profit,Strong,Low,Excellent,TRUE,TRUE,TRUE,9634 - Adeer Real Estate Co.,0.6165,0.5188,0.6132,0.4713,0.4644,Small Cap,100,91615,Real Estate,66441600,15370322,57309644,22595789,46.4%,61.3%,61.6%
9634,2024,6/30/2024,Quarterly,69721175,25098309,44622866,36888592,38508296,4021,127933072,120370828,7562244,63584950,3912495,,376084,28667473,22650,0.319913858,0.30100345,0.640018846,0.529087354,0.552318517,16.25176518,16.25176518,0.062824557,0.059110939,0.544981637,,1.968851787,28644823,9173.984581,59672455,,Adeer Real Estate Co.,9634_2024,32.0%,30.1%,64.0%,52.9%,55.2%,16.3,,6.3%,0.06,0.54,59672455,Q2024,69.7,32.0%,Industrial,93,FALSE,FALSE,30.1,64,52.9,55.2,6.3,5.9,38.5,127.9,120.4,6/30/2024,2024-Q3,Q3,Profit,Strong,Low,Excellent,TRUE,TRUE,TRUE,9634 - Adeer Real Estate Co.,0.3199,0.301,0.64,0.5291,0.5523,Small Cap,100,22650,Real Estate,44622866,7562244,28644823,59672455,55.2%,64.0%,32.0%
